,sma_f,sma_s,rsi,sma_r,macd,macdSignal,macdHist,stoch_k,stoch_d,sma_test,macd_test,stoch_over_bought,stoch_over_sold,rsi_over_bought,rsi_over_sold,price,high,low,next_10_high,next_10_low,next_50_high,next_50_low,next_100_high,next_100_low
2018-01-14 14:26:00+00:00,13435.463196273993,13355.797345943,40.473627054960524,36.69476168182671,-23.867624566624727,-18.259813396462118,-5.607811170162609,20.459786038389414,19.686539676908264,1,0,0,0,0,0,13380.0,13383.0,13351.0,13478.0,13443.0,13252.0,13223.0,13051.0,13030.0
2018-01-14 14:27:00+00:00,13435.383196273993,13357.967345943,43.9963538435534,36.10053413200706,-21.749496154301596,-18.957749948030013,-2.7917462062715828,25.786823685746494,21.578279302872016,1,0,0,0,0,0,13390.0,13397.0,13369.0,13477.0,13429.0,13283.0,13228.0,13050.0,13030.0
2018-01-14 14:28:00+00:00,13436.123196273993,13360.407345943,47.97510419108274,36.46852064746598,-18.884871373657006,-18.94317423315541,0.0583028594984043,32.242867641790454,26.163159121975962,1,1,0,0,0,0,13402.0,13403.0,13384.0,13469.9696328,13451.0,13237.0,13200.0,13099.0,13041.0
2018-01-14 14:29:00+00:00,13436.483196273994,13362.227345943,44.8309458386197,37.05976047935798,-17.302787897382586,-18.615096966000845,1.3123090686182586,34.664312410174,30.898001245904158,1,1,0,0,0,0,13391.0,13414.0,13391.0,13487.0,13451.0,13238.0,13204.0,13104.0,13063.0
2018-01-14 14:30:00+00:00,13436.763196273992,13363.967345943,41.625960849329346,37.36330499075653,-16.823345995488125,-18.2567467718983,1.4334007764101742,34.99634998710953,33.96784334635851,1,1,0,0,0,0,13379.0,13393.0,13378.0,13489.0,13466.0,13250.0,13208.0,13133.0,13088.0
2018-01-14 14:31:00+00:00,13437.783196273993,13366.077345942998,53.783206744843014,38.231496092648015,-12.985340562432611,-17.202465530005163,4.217124967572552,39.828849024460325,36.496503807248466,1,1,0,0,0,0,13420.0,13422.0,13380.0,13489.0,13456.0,13278.0,13244.0,13134.0,13120.0
2018-01-14 14:32:00+00:00,13438.923196273994,13368.437345942999,58.94826934328508,39.679010495617995,-7.995617324995692,-15.36109588900327,7.365478564007578,44.73390084732036,39.853033286297254,1,1,0,0,0,0,13443.0,13451.0,13420.0,13491.0,13463.0,13253.0,13208.0,13126.0,13103.0
2018-01-14 14:33:00+00:00,13441.023196273993,13371.174033668,65.60716652300476,41.75584248131325,-1.043604904496533,-12.497597692101923,11.45399278760539,48.05615998353299,44.20630328510507,1,1,0,0,0,0,13480.0,13480.0,13442.0,13493.0,13489.0,13212.0,13174.0,13120.0,13102.5846328
2018-01-14 14:34:00+00:00,13443.103196273993,13374.081598137,65.60716652300476,43.53068381499232,4.415021406772212,-9.115073872327097,13.530095279099308,52.88101529879343,48.55702537654944,1,1,0,0,0,0,13480.0,13512.0,13478.0,13500.0,13490.0,13195.0,13137.0,13118.0,13101.0
2018-01-14 14:35:00+00:00,13444.583196273994,13377.021598137,62.736382862988414,45.33535005152941,7.923460580481333,-5.707366981765411,13.630827562246743,57.805257723035844,52.91414433512127,1,1,0,0,0,0,13471.0,13496.0,13470.0,13496.0,13468.0,13194.0,13137.0,13148.0,13113.0
